,Antal bostäder,"Bostadsförsörjningsplan
500 bostäder/år i plan, 50 förhandsbesked/år","Planbesked 
(Antal) Andel","Bostadsförsörjningsplan
500 bostäder/år i plan","Aktiva DP
Antal bostäder","Planreserv
Antal bostäder","Bostadsförsörjningsplan
500 bostäder/år i plan 50 förhandsbesked/år"
Kungsbacka stad,600,900,,,,,
Åsa,-,150,,,,,
Anneberg,-,75,,,,,
Övriga orter 6 orter,182,375,,,,,
Övriga kommunen,88,150,,,,,
Kungsbacka stad,,,(14 st) 47%,60%,,,
Åsa,,,(6 st) 20%,10%,,,
Anneberg,,,(3 st) 10%,5%,,,
Övriga orter 6 orter,,,(7 st) 23%,25%,,,
Övriga kommunen,,,(3 st),-,,,
Kungsbacka stad,,,,,2 500,1 500,900
Åsa,,,,,290,,150
Anneberg,,,,,570,,75
Övriga orter 6 orter,,,,,586,100,375
Övriga kommunen,,,,,-,,150
